"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 18 22:32:16 CST 2019","Sun Aug 18 22:32:16 CST 2019","94","cases.apicases","test_class","TestClass","","","test_modifyclass3",""
"passed","Sun Aug 18 22:32:13 CST 2019","Sun Aug 18 22:32:14 CST 2019","306","cases.apicases","test_class","TestClass","","","test_addclass1[1-七年级1班-60]",""
"passed","Sun Aug 18 22:32:14 CST 2019","Sun Aug 18 22:32:14 CST 2019","317","cases.apicases","test_class","TestClass","","","test_addclass2",""
"failed","Sun Aug 18 22:32:15 CST 2019","Sun Aug 18 22:32:16 CST 2019","300","cases.apicases","test_class","TestClass","","","test_modifyclass2",""
"failed","Sun Aug 18 22:32:16 CST 2019","Sun Aug 18 22:32:17 CST 2019","196","cases.apicases","test_class","TestClass","","","test_deleteclass2",""
"passed","Sun Aug 18 22:32:16 CST 2019","Sun Aug 18 22:32:16 CST 2019","94","cases.apicases","test_class","TestClass","","","test_deleteclass1",""
"passed","Sun Aug 18 22:32:15 CST 2019","Sun Aug 18 22:32:15 CST 2019","199","cases.apicases","test_class","TestClass","","","test_modifyclass1",""
"passed","Sun Aug 18 22:32:14 CST 2019","Sun Aug 18 22:32:15 CST 2019","296","cases.apicases","test_class","TestClass","","","test_addclass3",""
